|Company|Origin|ReviewDate|CocoaPercent|CompanyLocation|BeanType|BroadBeanOrigin|Rating
32|Akesson's (Pralus)|Bali (west), Sukrama Family, Melaya area|2011|0.75|Switzerland|Trinitario|Indonesia|3.75
33|Akesson's (Pralus)|Madagascar, Ambolikapiky P.|2010|0.75|Switzerland|Criollo|Madagascar|2.75
34|Akesson's (Pralus)|Monte Alegre, D. Badero|2010|0.75|Switzerland|Forastero|Brazil|2.75
35|Alain Ducasse|Trinite|2014|0.65|France|Trinitario|Trinidad|2.75
36|Alain Ducasse|Vietnam|2014|0.75|France|Trinitario|Vietnam|2.75
37|Alain Ducasse|Madagascar|2014|0.75|France|Trinitario|Madagascar|3.0
38|Alain Ducasse|Chuao|2013|0.75|France|Trinitario|Venezuela|2.5
39|Alain Ducasse|Piura, Perou|2013|0.75|France| |Peru|2.5
40|Alexandre|Winak Coop, Napo|2017|0.7|Netherlands|Forastero (Nacional)|Ecuador|3.5
41|Alexandre|La Dalia, Matagalpa|2017|0.7|Netherlands|Criollo, Trinitario|Nicaragua|3.5
42|Alexandre|Tien Giang|2017|0.7|Netherlands|Trinitario|Vietnam|3.5
43|Alexandre|Makwale Village, Kyela|2017|0.7|Netherlands|Forastero|Tanzania|3.5
44|Altus aka Cao Artisan|Momotombo|2016|0.6|U.S.A.| |Nicaragua|2.75
45|Altus aka Cao Artisan|Acopagro|2016|0.6|U.S.A.| |Peru|3.0
46|Altus aka Cao Artisan|CIAAB Coop|2016|0.6|U.S.A.| |Bolivia|2.5
47|Altus aka Cao Artisan|Villa Andina|2016|0.6|U.S.A.| |Peru|2.5
48|Altus aka Cao Artisan|Gruppo Salinas|2016|0.6|U.S.A.| |Ecuador|2.75
49|Altus aka Cao Artisan|Sur del Lago|2013|0.6|U.S.A.| |Venezuela|2.5
50|Altus aka Cao Artisan|Conacado|2013|0.6|U.S.A.|Trinitario|Dominican Republic|3.0
51|Altus aka Cao Artisan|Bolivia|2013|0.8|U.S.A.| |Bolivia|3.25
52|Altus aka Cao Artisan|Bolivia|2013|0.6|U.S.A.| |Bolivia|3.0
53|Altus aka Cao Artisan|Peru|2013|0.6|U.S.A.| |Peru|3.25
54|Amano|Morobe|2011|0.7|U.S.A.| |Papua New Guinea|4.0
55|Amano|Dos Rios|2010|0.7|U.S.A.| |Dominican Republic|3.75
56|Amano|Guayas|2010|0.7|U.S.A.| |Ecuador|4.0
57|Amano|Chuao|2010|0.7|U.S.A.|Trinitario|Venezuela|3.0
58|Amano|Montanya|2009|0.7|U.S.A.| |Venezuela|3.0
59|Amano|Bali, Jembrana|2008|0.7|U.S.A.| |Indonesia|2.75
60|Amano|Madagascar|2007|0.7|U.S.A.|Trinitario|Madagascar|3.5
61|Amano|Cuyagua|2007|0.7|U.S.A.| |Venezuela|3.0
62|Amano|Ocumare|2007|0.7|U.S.A.|Criollo|Venezuela|3.75
63|Amatller (Simon Coll)|Ghana|2009|0.7|Spain|Forastero|Ghana|3.0
64|Amatller (Simon Coll)|Ecuador|2009|0.7|Spain| |Ecuador|2.75
65|Amatller (Simon Coll)|Ecuador|2009|0.85|Spain| |Ecuador|2.75
66|Amatller (Simon Coll)|Ghana|2009|0.85|Spain|Forastero|Ghana|3.0
67|Amazona|LamasdelChanka, San Martin, Oro Verde coop|2013|0.72|Peru| |Peru|3.25
68|Amazona|Bellavista Gran Pajeten, San Martin|2013|0.73|Peru|Trinitario|Peru|3.5
69|Ambrosia|Belize|2015|0.64|Canada|Trinitario|Belize|3.0
70|Ambrosia|Madagascar|2015|0.66|Canada|Trinitario|Madagascar|3.25
71|Ambrosia|Dominican Republic|2015|0.75|Canada| |Dominican Republic|3.25
72|Ambrosia|Papua New Guinea|2015|0.63|Canada| |Papua New Guinea|3.25
73|Ambrosia|Venezuela|2015|0.7|Canada| |Venezuela|3.25
74|Ambrosia|Peru|2015|0.68|Canada| |Peru|3.5
75|Amedei|Piura, Blanco de Criollo|2012|0.7|Italy| |Peru|3.75
76|Amedei|Porcelana|2007|0.7|Italy|Criollo (Porcelana)|Venezuela|4.0
77|Amedei|Nine|2007|0.75|Italy|Blend| |4.0
78|Amedei|Chuao|2007|0.7|Italy|Trinitario|Venezuela|5.0
79|Amedei|Ecuador|2007|0.7|Italy|Trinitario|Ecuador|3.0
80|Amedei|Jamaica|2007|0.7|Italy|Trinitario|Jamaica|3.0
81|Amedei|Grenada|2007|0.7|Italy|Trinitario|Grenada|3.5
82|Amedei|Venezuela|2007|0.7|Italy|Trinitario (85% Criollo)|Venezuela|3.75
83|Amedei|Madagascar|2007|0.7|Italy|Trinitario (85% Criollo)|Madagascar|4.0
84|Amedei|Trinidad|2007|0.7|Italy|Trinitario|Trinidad|3.5
85|Amedei|Toscano Black|2007|0.63|Italy|Blend| |3.5
86|Amedei|Toscano Black|2006|0.7|Italy|Blend| |5.0
87|Amedei|Toscano Black|2006|0.66|Italy|Blend| |4.0
88|AMMA|Catongo|2013|0.75|Brazil|Forastero (Catongo)|Brazil|3.25
89|AMMA|Monte Alegre, 3 diff. plantations|2010|0.85|Brazil|Forastero (Parazinho)|Brazil|2.75
90|AMMA|Monte Alegre, 3 diff. plantations|2010|0.5|Brazil|Forastero (Parazinho)|Brazil|3.75
91|AMMA|Monte Alegre, 3 diff. plantations|2010|0.75|Brazil|Forastero (Parazinho)|Brazil|3.75
92|AMMA|Monte Alegre, 3 diff. plantations|2010|0.6|Brazil|Forastero (Parazinho)|Brazil|4.0
93|Anahata|Elvesia|2014|0.75|U.S.A.| |Dominican Republic|3.0
94|Animas|Alto Beni|2016|0.75|U.S.A.| |Bolivia|3.5
95|Ara|Madagascar|2014|0.75|France|Trinitario|Madagascar|3.0
96|Ara|Chiapas|2014|0.72|France| |Mexico|2.5
97|Ara|Equateur|2014|0.75|France| |Ecuador|2.75
98|Ara|Trincheras|2014|0.75|France| |Venezuela|3.0
99|Arete|San Juan|2016|0.7|U.S.A.|Trinitario|Trinidad|3.5
100|Arete|Kokoa Kamili|2016|0.7|U.S.A.| |Tanzania|3.75
101|Arete|Tien Giang|2016|0.73|U.S.A.|Trinitario|Vietnam|3.5
102|Arete|Hacienda Victoria|2016|0.7|U.S.A.| |Ecuador|3.25
103|Arete|Costa Esmeraldas|2016|0.7|U.S.A.| |Ecuador|3.25
104|Arete|Lachua|2016|0.7|U.S.A.| |Guatemala|3.5
105|Arete|Rugoso|2016|0.7|U.S.A.| |Nicaragua|3.75
106|Arete|La Masica, FHIA|2016|0.7|U.S.A.| |Honduras|3.5
107|Arete|Coto Brus, Terciopelo|2016|0.7|U.S.A.| |Costa Rica|4.0
108|Arete|Phantom|2016|0.7|U.S.A.|Forastero (Nacional)|Peru|4.0
109|Arete|Elvesia|2016|0.7|U.S.A.| |Dominican Republic|3.75
110|Arete|Matasawalevu|2016|0.7|U.S.A.| |Fiji|3.25
111|Arete|Lam Dong|2016|0.73|U.S.A.| |Vietnam|3.25
112|Arete|Fazenda Camboa|2015|0.7|U.S.A.| |Brazil|3.5
113|Arete|Nacional|2015|0.68|U.S.A.|Forastero (Nacional)|Peru|3.5
114|Arete|Puerto Quito, heirloom|2015|0.7|U.S.A.|Forastero (Nacional)|Ecuador|3.75
115|Arete|Oko Caribe|2015|0.7|U.S.A.| |Dominican Republic|3.5
116|Arete|Maya Mountain|2015|0.7|U.S.A.|Trinitario|Belize|3.75
117|Arete|Chuno|2015|0.7|U.S.A.|Criollo, Trinitario|Nicaragua|4.0
118|Arete|Fazenda Camboa|2015|0.75|U.S.A.| |Brazil|2.75
119|Arete|Guatemala|2015|0.7|U.S.A.| |Guatemala|3.25
120|Arete|Camino Verde|2015|0.75|U.S.A.| |Ecuador|3.5
121|Artisan du Chocolat|Trinidad, Heritage, Limited ed.|2013|0.72|U.K.|Trinitario|Trinidad|3.25
122|Artisan du Chocolat|Colombia, Casa Luker|2012|0.72|U.K.| |Colombia|3.75
123|Artisan du Chocolat|Haiti|2011|0.72|U.K.| |Haiti|4.0
124|Artisan du Chocolat|Panama|2011|0.72|U.K.| |Panama|2.75
125|Artisan du Chocolat|Venezuela|2010|1.0|U.K.| |Venezuela|1.75
126|Artisan du Chocolat|Jamaica|2010|0.72|U.K.|Trinitario|Jamaica|3.75
127|Artisan du Chocolat|Costa Rica|2010|0.72|U.K.| |Costa Rica|3.25
128|Artisan du Chocolat|Ba Ria Vung Tau Province|2010|0.72|U.K.|Trinitario|Vietnam|3.25
129|Artisan du Chocolat|Bali|2010|0.72|U.K.| |Indonesia|3.5
130|Artisan du Chocolat|Ocumare, Venezuela|2009|0.75|U.K.|Criollo, Trinitario|Venezuela|2.5
131|Artisan du Chocolat|Java|2009|0.72|U.K.|Trinitario|Indonesia|2.75
132|Artisan du Chocolat|Brazil Rio Doce|2009|0.72|U.K.| |Brazil|1.75
133|Artisan du Chocolat|Madagascar|2009|0.8|U.K.|Criollo, Trinitario|Madagascar|3.0
134|Artisan du Chocolat|Peru|2009|0.75|U.K.|Criollo|Peru|3.0
135|Artisan du Chocolat|Dominican Republic|2009|0.72|U.K.|Trinitario|Dominican Republic|3.25
136|Artisan du Chocolat|Congo|2008|0.72|U.K.|Forastero|Congo|3.75
137|Artisan du Chocolat (Casa Luker)|Orinoqua Region, Arauca|2013|0.72|U.K.|Trinitario|Colombia|2.75
138|Askinosie|Mababa|2016|0.68|U.S.A.|Trinitario|Tanzania|3.75
139|Askinosie|Tenende, Uwate|2011|0.72|U.S.A.|Trinitario|Tanzania|3.75
140|Askinosie|Cortes|2011|0.7|U.S.A.|Trinitario|Honduras|3.75
141|Askinosie|Davao|2009|0.77|U.S.A.|Trinitario|Philippines|3.75
142|Askinosie|Xoconusco|2007|0.75|U.S.A.|Trinitario|Mexico|2.5
143|Askinosie|San Jose del Tambo|2007|0.7|U.S.A.|Forastero (Arriba)|Ecuador|3.0
144|Bahen & Co.|Houseblend|2015|0.8|Australia| | |3.25
145|Bahen & Co.|Papua New Guinea|2015|0.7|Australia| |Papua New Guinea|3.5
146|Bahen & Co.|Sambirano|2012|0.7|Australia|Trinitario|Madagascar|3.0
147|Bahen & Co.|Bahia|2012|0.7|Australia| |Brazil|2.5
148|Bahen & Co.|Houseblend|2012|0.7|Australia|Blend| |2.5
149|Bakau|Bambamarca, 2015|2015|0.7|Peru| |Peru|2.75
150|Bakau|Huallabamba, 2015|2015|0.7|Peru| |Peru|3.5
151|Bar Au Chocolat|Bahia|2015|0.7|U.S.A.| |Brazil|3.5
152|Bar Au Chocolat|Maranon Canyon|2014|0.7|U.S.A.|Forastero (Nacional)|Peru|4.0
153|Bar Au Chocolat|Duarte Province|2012|0.7|U.S.A.| |Dominican Republic|3.25
154|Bar Au Chocolat|Chiapas|2012|0.7|U.S.A.| |Mexico|3.5
155|Bar Au Chocolat|Sambirano|2012|0.7|U.S.A.|Trinitario|Madagascar|3.75
156|Baravelli's|single estate|2012|0.8|Wales| |Costa Rica|2.75
157|Batch|Dominican Republic, Batch 3|2016|0.65|U.S.A.| |Dominican Republic|3.5
158|Batch|Brazil|2016|0.7|U.S.A.| |Brazil|3.75
159|Batch|Ecuador|2016|0.65|U.S.A.| |Ecuador|3.25
160|Beau Cacao|Asajaya E, NW Borneo, b. #132/4500|2017|0.73|U.K.| |Malaysia|3.0
161|Beau Cacao|Serian E., NW Borneo, b. #134/3800|2017|0.72|U.K.| |Malaysia|3.25
162|Beehive|Brazil, Batch 20316|2016|0.8|U.S.A.| |Brazil|2.75
163|Beehive|Dominican Republic, Batch 31616|2016|0.7|U.S.A.| |Dominican Republic|2.75
164|Beehive|Ecuador, Batch 31516|2016|0.7|U.S.A.| |Ecuador|2.75
165|Beehive|Ecuador|2016|0.9|U.S.A.| |Ecuador|2.75
166|Belcolade|Costa Rica|2010|0.64|Belgium| |Costa Rica|2.75
167|Belcolade|Papua New Guinea|2010|0.64|Belgium| |Papua New Guinea|2.75
168|Belcolade|Peru|2010|0.64|Belgium| |Peru|2.75
169|Belcolade|Ecuador|2010|0.71|Belgium| |Ecuador|3.5
170|Bellflower|Kakao Kamili, Kilombero Valley|2016|0.7|U.S.A.|Criollo, Trinitario|Tanzania|3.5
171|Bellflower|Alto Beni, Palos Blanco|2016|0.7|U.S.A.| |Bolivia|3.25
172|Bellflower|Oko Caribe, Duarte P.|2016|0.7|U.S.A.| |Dominican Republic|3.5
173|Belyzium|Belize south, low fermentation|2016|0.83|Germany|Trinitario|Belize|2.75
174|Belyzium|Belize south|2016|0.78|Germany|Trinitario|Belize|3.0
175|Belyzium|Belize south|2016|0.83|Germany|Trinitario|Belize|3.5
176|Benoit Nihant|Baracoa|2013|0.74|Belgium|Trinitario|Cuba|3.5
177|Benoit Nihant|Chuao|2013|0.74|Belgium|Criollo|Venezuela|3.5
178|Benoit Nihant|Cuyagua Village|2013|0.74|Belgium|Criollo|Venezuela|3.5
179|Benoit Nihant|Rio Peripa H.|2013|0.73|Belgium|Trinitario|Ecuador|4.0
180|Benoit Nihant|Bali, Sukrama Bros. Farm, Melaya, 62hr C|2011|0.72|Belgium|Trinitario|Indonesia|4.0
181|Benoit Nihant|Somia Plantation, Sambirano, 70hr C|2011|0.72|Belgium|Trinitario|Madagascar|3.75
182|Bernachon|Nature|2012|0.55|France| | |2.75
183|Beschle (Felchlin)|Madagascar|2011|0.64|Switzerland|Trinitario|Madagascar|3.0
184|Beschle (Felchlin)|Maracaibo|2011|0.88|Switzerland|Criollo|Venezuela|3.0
185|Beschle (Felchlin)|Indigena Amazonia, Grand Cru, Quizas|2011|0.72|Switzerland| |Venezuela|3.5
186|Beschle (Felchlin)|Ecuador|2011|0.72|Switzerland| |Ecuador|4.0
187|Beschle (Felchlin)|Carenero S., Barlovento, Grand Cru|2010|0.7|Switzerland|Trinitario|Venezuela|3.25
188|Beschle (Felchlin)|Porcelana, Premier Cru, Quizas No. 1|2010|0.74|Switzerland|Criollo (Porcelana)|Venezuela|3.25
189|Beschle (Felchlin)|Java, Grand Cru|2010|0.64|Switzerland| |Indonesia|3.5
190|Beschle (Felchlin)|Ocumare, Premier Cru, Quizas No. 2|2010|0.72|Switzerland| |Venezuela|3.5
191|Bisou|Nicaragua, American style|2015|0.76|U.S.A.| |Nicaragua|2.5
192|Bisou|San Andres, American style|2015|0.76|U.S.A.| |Costa Rica|2.5
193|Bisou|San Andres, silk|2015|0.78|U.S.A.| |Costa Rica|2.5
194|Bisou|Belize|2015|0.86|U.S.A.|Trinitario|Belize|3.25
195|Bittersweet Origins|Ghana|2012|0.72|U.S.A.|Forastero|Ghana|3.5
196|Bittersweet Origins|Bali, Singaraja|2010|0.75|U.S.A.| |Indonesia|3.25
197|Bittersweet Origins|2009 Hapa Nibby|2010|0.7|U.S.A.|Blend|Dominican Rep., Bali|3.75
198|Bittersweet Origins|Bali, Singaraja|2010|0.65|U.S.A.| |Indonesia|2.75
199|Bittersweet Origins|Sambirano, 2009|2010|0.7|U.S.A.|Trinitario|Madagascar|3.0
200|Bittersweet Origins|Ocumare, prototype|2010|0.78|U.S.A.|Criollo|Venezuela|3.0
201|Bittersweet Origins|Puerto Plata|2009|0.75|U.S.A.| |Dominican Republic|3.0
202|Bittersweet Origins|Puerto Plata|2009|0.65|U.S.A.| |Dominican Republic|3.5
203|Bittersweet Origins|Sambirano|2009|0.75|U.S.A.|Trinitario|Madagascar|3.25
204|Bittersweet Origins|Sambirano|2009|0.65|U.S.A.|Trinitario|Madagascar|3.5
205|Bittersweet Origins|Sambirano|2008|0.71|U.S.A.|Trinitario|Madagascar|3.0
206|Bittersweet Origins|Bocas del Toro|2008|0.75|U.S.A.| |Panama|3.5
207|Bittersweet Origins|Puerto Plata|2008|0.68|U.S.A.| |Dominican Republic|3.75
208|Bittersweet Origins|Ankasa|2008|0.7|U.S.A.|Forastero|Ghana|3.0
209|Black Mountain|La Red|2008|0.7|U.S.A.| |Dominican Republic|2.75
210|Black Mountain|Carenero Superior|2008|0.7|U.S.A.|Trinitario|Venezuela|2.75
211|Black Mountain|Matiguas|2008|0.7|U.S.A.| |Nicaragua|3.0
212|Black River (A. Morin)|Blue Mountain Region|2014|0.7|U.K.|Trinitario|Jamaica|2.75
213|Blanxart|Congo, Grand Cru|2013|0.82|Spain|Forastero|Congo|3.5
214|Blanxart|Organic Dark|2009|0.72|Spain| | |2.75
215|Blue Bandana|Akesson's E., Sambirano V.|2016|0.82|U.S.A.|Trinitario|Madagascar|3.5
216|Blue Bandana|Lachua|2016|0.75|U.S.A.| |Guatemala|2.75
217|Blue Bandana|Kokoa Kamili|2016|0.75|U.S.A.| |Tanzania|3.5
218|Blue Bandana|Zorzal Reserva|2016|0.75|U.S.A.| |Dominican Republic|3.0
219|Blue Bandana|Guatemala|2012|0.7|U.S.A.| |Guatemala|3.5
220|Blue Bandana|Madagascar|2012|0.7|U.S.A.|Trinitario|Madagascar|3.75
221|Bonnat|Selva Maya|2016|0.75|France| |Mexico|3.5
222|Bonnat|Kaori|2014|0.75|France| |Brazil|4.0
223|Bonnat|Los Colorados, Santo Domingo, Equateur|2014|0.75|France| |Dominican Republic|3.25
224|Bonnat|Surfin|2014|0.65|France| |Venez,Africa,Brasil,Peru,Mex|3.75
225|Bonnat|Maragnam|2013|0.75|France| |Brazil|3.5
226|Bonnat|Gabon|2013|0.75|France| |Gabon|3.25
227|Bonnat|Cuba|2011|0.75|France|Trinitario|Cuba|3.5
228|Bonnat|Cusco, Cacao Cusco|2011|0.75|France| |Peru|3.5
229|Bonnat|Piura Blanco|2011|0.75|France|Forastero (Nacional)|Peru|3.5
230|Bonnat|Libanio|2011|0.75|France| |Brazil|3.75
231|Bonnat|Haiti|2011|0.75|France| |Haiti|4.0
232|Bonnat|Madagascar, 100% criollo|2011|0.75|France|Criollo|Madagascar|4.0
233|Bonnat|Juliana|2011|0.75|France| |Brazil|3.5
234|Bonnat|Jamaique|2011|0.75|France|Trinitario|Jamaica|3.25
235|Bonnat|Ivory Coast|2009|0.75|France| |Ivory Coast|3.0
236|Bonnat|Porcelana, Apotequil|2009|0.75|France|Criollo|Peru|2.75
237|Bonnat|Porcelana, Tabasco, Marfil de Blanco|2009|0.75|France|Criollo|Mexico|3.0
238|Bonnat|Xoconusco, cacao Real|2009|0.75|France|Criollo|Mexico|3.0
239|Bonnat|Porcelana, Venezuela|2008|0.75|France|Criollo (Porcelana)|Venezuela|4.0
240|Bonnat|Equateur|2007|0.75|France|Forastero (Arriba)|Ecuador|2.5
241|Bonnat|Trinite|2006|0.75|France|Trinitario|Carribean|3.75
242|Bonnat|Ocumare, Puerto Cabello|2006|0.75|France| |Venezuela|4.0
243|Bonnat|Maracaibo, El Rosario|2006|0.75|France|Criollo|Venezuela|4.0
244|Bonnat|Madagascar|2006|0.75|France|Trinitario|Madagascar|4.0
245|Bonnat|One Hundred|2006|1.0|France| | |1.5
246|Bonnat|Ceylan|2006|0.75|France| |Sri Lanka|3.0
247|Bonnat|Chuao|2006|0.75|France|Trinitario|Venezuela|4.0
248|Bouga Cacao (Tulicorp)|El Oro, Hacienda de Oro|2009|0.77|Ecuador|Forastero (Arriba)|Ecuador|3.25
249|Bouga Cacao (Tulicorp)|El Oro, Hacienda de Oro|2009|1.0|Ecuador|Forastero (Arriba)|Ecuador|1.5
250|Bowler Man|Maya Mountain|2014|0.7|U.S.A.|Trinitario|Belize|2.75
251|Bowler Man|Conacado|2014|0.7|U.S.A.| |Dominican Republic|2.75
252|Brasstown aka It's Chocolate|Guasare, Zulia Prov.|2016|0.7|U.S.A.|Criollo|Venezuela|3.5
253|Brasstown aka It's Chocolate|O'payo, Waslala|2016|0.7|U.S.A.| |Nicaragua|3.75
254|Brasstown aka It's Chocolate|Conacado|2015|0.68|U.S.A.| |Dominican Republic|3.75
255|Brasstown aka It's Chocolate|Maya Mountain|2014|0.7|U.S.A.|Trinitario|Belize|3.75
256|Brasstown aka It's Chocolate|Chuao|2014|0.7|U.S.A.|Trinitario|Venezuela|4.0
257|Brasstown aka It's Chocolate|Cooproagro|2013|0.72|U.S.A.|Trinitario|Dominican Republic|3.0
258|Brasstown aka It's Chocolate|Camino Verde, Guayas|2013|0.7|U.S.A.| |Ecuador|3.25
259|Brasstown aka It's Chocolate|Ghana|2013|0.75|U.S.A.|Forastero|Ghana|3.5
260|Brasstown aka It's Chocolate|Chuao, Mantuano blend|2013|0.85|U.S.A.|Trinitario|Venezuela|3.5
261|Brazen|Elvesia P.|2015|0.6|U.S.A.| |Dominican Republic|3.0
262|Brazen|Elvesia P.|2015|0.8|U.S.A.| |Dominican Republic|3.25
263|Brazen|Alta Verapaz, 2014|2015|0.7|U.S.A.| |Guatemala|3.5
264|Brazen|Ambolikapiky P.|2015|0.8|U.S.A.| |Madagascar|2.75
265|Brazen|Maya Mountain|2015|0.8|U.S.A.|Trinitario|Belize|3.25
266|Brazen|Ambolikapkly P.|2015|0.6|U.S.A.| |Madagascar|3.25
267|Breeze Mill|Jamaica|2013|0.7|U.S.A.|Trinitario|Jamaica|3.0
268|Bright|Somia Plantation|2014|0.72|Australia|Trinitario|Madagascar|3.0
269|Bright|Marabel Farms|2014|0.7|Australia| |Dominican Republic|3.5
270|Bright|Camino Verde, Balao, Guayas|2014|0.72|Australia| |Ecuador|3.5
271|Bright|Gran Couva|2014|0.68|Australia|Trinitario|Trinidad|2.75
272|Britarev|Ecuador|2015|0.7|Russia| |Ecuador|3.25
273|Bronx Grrl Chocolate|Dominican Republic|2013|0.68|U.S.A.| |Dominican Republic|2.75
274|Burnt Fork Bend|Trinidad|2014|0.72|U.S.A.|Trinitario|Trinidad|3.25
275|Burnt Fork Bend|Mindo|2014|0.72|U.S.A.| |Ecuador|3.5
276|Burnt Fork Bend|Belize|2014|0.72|U.S.A.|Trinitario|Belize|3.25
277|Burnt Fork Bend|Blend|2014|0.72|U.S.A.|Blend| |3.25
278|Burnt Fork Bend|Ecuador, Bob Bar|2014|0.6|U.S.A.| |Ecuador|2.5
279|Cacao Arabuco|Puerto Rico|2015|0.7|Puerto Rico| |Puerto Rico|2.5
280|Cacao Atlanta|Tumbes|2014|0.75|U.S.A.|Criollo|Peru|2.5
281|Cacao Atlanta|"Dominican Republic, ""Love Bar"""|2010|0.75|U.S.A.| |Dominican Republic|2.5
282|Cacao Atlanta|Dominican Republic w/ nibs|2010|0.75|U.S.A.| |Dominican Republic|2.75
283|Cacao Atlanta|Patanemo|2010|0.75|U.S.A.| |Venezuela|2.25
284|Cacao Barry|Grand 'Anse|2016|0.65|France|Trinitario, Criollo|Haiti|3.5
285|Cacao Barry|Santo Domingo|2010|0.7|France| |Dominican Republic|3.0
286|Cacao Barry|Tanzania|2008|0.75|France| |Tanzania|2.0
287|Cacao Barry|Venezuela|2007|0.72|France| |Venezuela|2.0
288|Cacao Barry|Mexico|2007|0.66|France| |Mexico|3.0
289|Cacao de Origen|Chuao|2015|0.77|Venezuela|Trinitario|Venezuela|3.5
290|Cacao de Origen|Rio Caribe|2015|0.75|Venezuela|Trinitario|Venezuela|3.25
291|Cacao de Origen|Agua Fria; Sucre region|2014|0.75|Venezuela| |Venezuela|2.5
292|Cacao de Origen|Macuare; Miranda; Chloe formula|2014|0.74|Venezuela| |Venezuela|3.25
293|Cacao de Origen|Chuao, Aragua region|2014|0.75|Venezuela|Trinitario|Venezuela|3.5
294|Cacao de Origen|Chuao, Aragua region|2014|0.7|Venezuela|Trinitario|Venezuela|3.75
295|Cacao de Origin|Hacienda la Trinidad|2015|0.74|Venezuela| |Venezuela|3.25
296|Cacao Hunters|Macondo|2016|0.71|Colombia| |Colombia|3.75
297|Cacao Hunters|Perla Negra|2016|0.74|Colombia| |Colombia|3.75
298|Cacao Hunters|Arhuacos|2015|0.72|Colombia| |Colombia|3.75
299|Cacao Hunters|Sierra Nevada|2014|0.64|Colombia| |Colombia|3.5
300|Cacao Hunters|Tumaco|2014|0.7|Colombia| |Colombia|3.5
301|Cacao Hunters|Boyaca, Aprocampa Coop, Pauna|2014|0.69|Colombia| |Colombia|2.75
302|Cacao Hunters|Arauca|2014|0.7|Colombia| |Colombia|3.25
303|Cacao Market|Jutiapa, lot 050916D|2016|0.7|U.S.A.|Trinitario|Honduras|3.5
304|Cacao Prieto|Criollo, Dominican Republic|2012|0.72|U.S.A.|Criollo|Dominican Republic|3.75
305|Cacao Prieto|Dominican Republicm, rustic|2011|0.72|U.S.A.| |Dominican Republic|3.0
306|Cacao Prieto|Dominican Republic|2011|0.66|U.S.A.| |Dominican Republic|3.75
307|Cacao Prieto|Dominican Republic, rustic|2011|0.65|U.S.A.| |Dominican Republic|3.25
308|Cacao Sampaka|Mahali, Kasai|2016|0.7|Spain|Criollo|Congo|3.5
309|Cacao Sampaka|Madagascar|2010|0.71|Spain|Trinitario|Madagascar|3.5
310|Cacao Sampaka|Ecuador|2010|0.71|Spain| |Ecuador|3.75
311|Cacao Sampaka|Papua|2010|0.71|Spain| |Papua New Guinea|4.0
312|Cacao Sampaka|Grenada|2010|0.71|Spain|Trinitario|Grenada|3.25
313|Cacao Sampaka|Venezuela|2010|0.71|Spain| |Venezuela|3.5
314|Cacao Sampaka|Venezuela|2010|0.77|Spain| |Venezuela|3.5
315|Cacao Sampaka|Porcelana, Tabasco, La Joya|2009|0.7|Spain|Criollo|Mexico|4.0
